1492354630.762858,0
1492354630.869237,6
1492354630.971451,12
1492354631.074432,17
1492354631.176997,23
1492354631.279483,30
1492354631.384992,36
1492354631.489091,43
1492354631.591517,49
1492354631.694400,55
1492354631.800111,62
1492354631.902322,68
1492354632.004672,76
1492354632.109273,81
1492354632.213600,87
1492354632.325834,94
1492354632.432993,99
1492354632.542983,99
1492354632.646273,99
1492354632.752914,100
1492354632.855063,99
1492354632.958183,99
1492354633.060381,99
1492354633.162712,100
1492354633.265489,99
1492354633.369198,99
1492354633.473907,100
1492354633.576306,99
1492354633.678663,99
1492354633.781100,100
1492354633.883582,99
1492354633.985975,99
1492354634.088498,99
1492354634.190634,99
1492354634.293541,99
1492354634.395953,99
1492354634.500871,99
1492354634.603403,100
1492354634.705840,99
1492354634.808640,98
1492354634.912929,98
1492354635.015604,98
1492354635.118459,98
1492354635.225264,100
1492354635.329943,99
1492354635.432598,99
1492354635.537337,100
1492354635.643992,99
1492354635.760603,100
1492354635.862952,99
1492354635.965162,99
1492354636.077119,99
1492354636.179440,99
1492354636.281848,99
1492354636.392680,99
1492354636.495490,100
1492354636.599858,99
1492354636.702336,93
1492354636.805713,80
1492354636.908782,67
1492354637.012658,55
1492354637.115041,42
1492354637.222013,29
1492354637.324664,16
1492354637.430971,3
1492354637.538383,0
1492354637.641514,0
1492354637.743680,4
1492354637.851596,21
1492354637.956692,53
1492354638.066606,74
1492354638.178573,95
1492354638.286583,100
1492354638.398251,99
1492354638.501194,100
1492354638.603523,99
1492354638.705846,99
1492354638.809597,99
1492354638.912116,96
1492354639.014417,95
1492354639.116894,93
1492354639.219054,92
1492354639.322959,89
1492354639.426542,90
1492354639.530817,88
1492354639.633700,87
1492354639.736434,81
1492354639.841140,78
1492354639.943296,78
1492354640.045390,78
1492354640.152296,78
1492354640.254841,81
1492354640.359700,87
1492354640.465194,94
1492354640.567454,99
1492354640.672570,97
1492354640.777356,97
1492354640.886305,98
1492354640.992828,97
1492354641.101517,94
1492354641.205673,88
1492354641.311235,81
1492354641.421569,76
1492354641.528334,71
1492354641.634992,64
1492354641.737287,58
1492354641.839140,51
1492354641.941379,52
1492354642.043424,52
1492354642.145769,52
1492354642.251741,47
1492354642.354112,43
1492354642.456537,36
1492354642.559095,29
1492354642.662536,24
1492354642.767754,24
1492354642.871138,24
1492354642.976452,25
1492354643.079778,24
1492354643.182161,24
1492354643.284187,24
1492354643.387040,24
1492354643.493194,25
1492354643.597936,25
1492354643.700946,25
1492354643.804066,25
1492354643.906240,25
1492354644.011005,26
1492354644.115602,25
1492354644.222055,25
1492354644.333948,24
1492354644.437822,25
1492354644.548801,25
1492354644.658724,25
1492354644.768825,25
1492354644.871302,25
1492354644.973549,25
1492354645.075868,26
1492354645.181179,25
1492354645.283783,25
1492354645.386639,26
1492354645.489124,26
1492354645.591558,27
1492354645.694001,26
1492354645.796138,26
1492354645.899322,27
1492354646.003733,26
1492354646.106137,26
1492354646.209740,26
1492354646.312010,26
1492354646.421095,26
1492354646.526203,26
1492354646.633334,26
1492354646.737296,26
1492354646.841504,26
1492354646.948124,26
1492354647.050927,26
1492354647.155837,26
1492354647.258361,26
1492354647.367212,27
1492354647.475036,27
1492354647.579893,27
1492354647.685347,27
1492354647.795276,27
1492354647.904033,27
1492354648.007638,27
1492354648.110132,27
1492354648.213113,27
1492354648.315856,27
1492354648.422048,27
1492354648.524841,27
1492354648.627366,27
1492354648.729752,27
1492354648.838022,27
1492354648.944699,27
1492354649.047514,28
1492354649.150184,27
1492354649.252652,28
1492354649.355122,29
1492354649.457507,29
1492354649.559672,29
1492354649.662160,30
1492354649.764472,29
1492354649.868171,28
1492354649.970387,28
1492354650.073484,28
1492354650.176714,28
1492354650.281744,28
1492354650.383905,28
1492354650.489670,28
1492354650.592015,28
1492354650.699496,27
1492354650.802723,28
1492354650.909434,28
1492354651.012766,28
1492354651.114722,28
1492354651.218487,29
1492354651.321697,29
1492354651.429995,29
1492354651.543942,29
1492354651.646349,29
1492354651.748732,29
1492354651.853202,29
1492354651.955555,29
1492354652.059398,29
1492354652.162117,29
1492354652.264451,30
1492354652.367861,29
1492354652.473351,29
1492354652.575710,29
1492354652.684546,30
1492354652.787627,29
1492354652.890394,29
1492354652.994184,29
1492354653.098180,29
1492354653.201984,30
1492354653.304927,30
1492354653.411959,31
1492354653.524362,30
1492354653.626693,30
1492354653.730385,30
1492354653.836450,30
1492354653.946331,30
1492354654.049031,30
1492354654.154234,30
1492354654.264559,30
1492354654.374374,30
1492354654.477131,31
1492354654.582424,30
1492354654.684915,30
1492354654.787159,30
1492354654.890673,30
1492354654.993247,31
1492354655.095641,30
1492354655.203838,31
1492354655.306542,30
1492354655.408763,31
1492354655.511245,31
1492354655.613599,31
1492354655.721405,31
1492354655.827730,31
1492354655.931200,32
1492354656.033661,31
1492354656.135819,31
1492354656.238729,31
1492354656.341469,31
1492354656.445879,31
1492354656.548434,31
1492354656.651042,31
1492354656.756726,30
1492354656.859269,31
1492354656.970532,31
